Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,first_name,last_name,full_name,picture_link
97,97,97,97,1641740,Jaylen,Clark,Jaylen Clark,https://cdn.nba.com/headshots/nba/latest/1040x760/1641740.png
98,98,98,98,1629634,Brandon,Clarke,Brandon Clarke,https://cdn.nba.com/headshots/nba/latest/1040x760/1629634.png
99,99,99,99,203903,Jordan,Clarkson,Jordan Clarkson,https://cdn.nba.com/headshots/nba/latest/1040x760/203903.png
100,100,100,100,1629651,Nic,Claxton,Nic Claxton,https://cdn.nba.com/headshots/nba/latest/1040x760/1629651.png
101,101,101,101,1642270,Donovan,Clingan,Donovan Clingan,https://cdn.nba.com/headshots/nba/latest/1040x760/1642270.png
102,102,102,102,1641730,Noah,Clowney,Noah Clowney,https://cdn.nba.com/headshots/nba/latest/1040x760/1641730.png
103,103,103,103,1629599,Amir,Coffey,Amir Coffey,https://cdn.nba.com/headshots/nba/latest/1040x760/1629599.png
104,104,104,104,1642268,Isaiah,Collier,Isaiah Collier,https://cdn.nba.com/headshots/nba/latest/1040x760/1642268.png
105,105,105,105,1628381,John,Collins,John Collins,https://cdn.nba.com/headshots/nba/latest/1040x760/1628381.png
106,106,106,106,1628380,Zach,Collins,Zach Collins,https://cdn.nba.com/headshots/nba/latest/1040x760/1628380.png
107,107,107,107,201144,Mike,Conley,Mike Conley,https://cdn.nba.com/headshots/nba/latest/1040x760/201144.png
108,108,108,108,1626192,Pat,Connaughton,Pat Connaughton,https://cdn.nba.com/headshots/nba/latest/1040x760/1626192.png
109,109,109,109,1641731,Bilal,Coulibaly,Bilal Coulibaly,https://cdn.nba.com/headshots/nba/latest/1040x760/1641731.png
110,110,110,110,1641741,Ricky,Council IV,Ricky Council IV,https://cdn.nba.com/headshots/nba/latest/1040x760/1641741.png
111,111,111,111,1628470,Torrey,Craig,Torrey Craig,https://cdn.nba.com/headshots/nba/latest/1040x760/1628470.png
112,112,112,112,1642384,Isaiah,Crawford,Isaiah Crawford,https://cdn.nba.com/headshots/nba/latest/1040x760/1642384.png
113,113,113,113,1630622,Jalen,Crutcher,Jalen Crutcher,https://cdn.nba.com/headshots/nba/latest/1040x760/1630622.png
114,114,114,114,1629633,Jarrett,Culver,Jarrett Culver,https://cdn.nba.com/headshots/nba/latest/1040x760/1629633.png
115,115,115,115,1630595,Cade,Cunningham,Cade Cunningham,https://cdn.nba.com/headshots/nba/latest/1040x760/1630595.png
116,116,116,116,203552,Seth,Curry,Seth Curry,https://cdn.nba.com/headshots/nba/latest/1040x760/203552.png
117,117,117,117,201939,Stephen,Curry,Stephen Curry,https://cdn.nba.com/headshots/nba/latest/1040x760/201939.png
118,118,118,118,1642359,Pacôme,Dadiet,Pacôme Dadiet,https://cdn.nba.com/headshots/nba/latest/1040x760/1642359.png
119,119,119,119,1641915,Caleb,Daniels,Caleb Daniels,https://cdn.nba.com/headshots/nba/latest/1040x760/1641915.png
120,120,120,120,1630700,Dyson,Daniels,Dyson Daniels,https://cdn.nba.com/headshots/nba/latest/1040x760/1630700.png
121,121,121,121,1642368,N'Faly,Dante,N'Faly Dante,https://cdn.nba.com/headshots/nba/latest/1040x760/1642368.png
122,122,122,122,1630268,Nate,Darling,Nate Darling,https://cdn.nba.com/headshots/nba/latest/1040x760/1630268.png
